year,month,quarter,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,previous_price,price_change,price_pct_change,price_3_month_avg,price_6_month_avg,date
2008,12,4,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,412.5,407.27,5.230000000000018,0.0128416038500258,414.92333333333335,362.0216666666667,2008-12-15
2008,12,4,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,775.0,787.5,-12.5,-0.0158730158730158,757.5,738.7199999999999,2008-12-15
2009,1,1,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,776.92,775.0,1.919999999999959,0.0024774193548386,779.8066666666667,751.54,2009-01-15
2009,1,1,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,395.0,412.5,-17.5,-0.0424242424242424,404.92333333333335,383.48,2009-01-15
2009,2,1,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,386.0,395.0,-9.0,-0.0227848101265822,397.8333333333333,396.1466666666667,2009-02-15
2009,2,1,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,800.0,776.92,23.08000000000004,0.0297070483447459,783.9733333333334,765.6433333333333,2009-02-15
2009,3,1,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,619.23,386.0,233.23,0.6042227979274611,466.7433333333333,440.8333333333333,2009-03-15
2009,3,1,Kampala,Central Kampala,Owino,0.32,32.57,pulses and nuts,Beans,KG,1476.92,1500.0,-23.079999999999927,-0.0153866666666666,1492.3066666666666,1475.875,2009-03-15
2009,3,1,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,800.0,800.0,0.0,0.0,792.3066666666667,774.9033333333333,2009-03-15
2009,4,2,Kampala,Central Kampala,Owino,0.32,32.57,pulses and nuts,Beans,KG,1454.55,1476.92,-22.37000000000012,-0.015146385721637,1477.1566666666668,1456.6333333333332,2009-04-15
2009,4,2,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,466.36,619.23,-152.87,-0.2468711141256076,490.53,447.7266666666666,2009-04-15
2009,4,2,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,972.73,800.0,172.73000000000002,0.2159125,857.5766666666667,818.6916666666666,2009-04-15
2009,5,2,Kampala,Central Kampala,Owino,0.32,32.57,pulses and nuts,Beans,KG,1666.67,1454.55,212.1200000000001,0.1458320442748617,1532.7133333333334,1499.6899999999998,2009-05-15
2009,5,2,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,473.75,466.36,7.389999999999986,0.0158461274551848,519.7800000000001,458.8066666666667,2009-05-15
2009,5,2,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,1100.0,972.73,127.26999999999998,0.1308379509216329,957.5766666666668,870.775,2009-05-15
2009,6,2,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,1130.77,1100.0,30.769999999999985,0.0279727272727272,1067.8333333333333,930.07,2009-06-15
2009,6,2,Kampala,Central Kampala,Owino,0.32,32.57,pulses and nuts,Beans,KG,1584.62,1666.67,-82.05000000000018,-0.049229901540197,1568.6133333333337,1530.46,2009-06-15
2009,6,2,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,361.92,473.75,-111.82999999999998,-0.2360527704485487,434.01,450.3766666666666,2009-06-15
2009,7,3,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,1100.0,1130.77,-30.769999999999985,-0.0272115461145944,1110.256666666667,983.9166666666666,2009-07-15
2009,7,3,Kampala,Central Kampala,Owino,0.32,32.57,pulses and nuts,Beans,KG,1538.46,1584.62,-46.159999999999854,-0.0291300122426826,1596.5833333333333,1536.87,2009-07-15
2009,7,3,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,641.54,361.92,279.61999999999995,0.772601679929266,492.40333333333336,491.4666666666667,2009-07-15
2009,8,3,Kampala,Central Kampala,Owino,0.32,32.57,cereals and tubers,Cassava flour,KG,1103.57,1100.0,3.5699999999999363,0.0032454545454544,1111.4466666666667,1034.5116666666663,2009-08-15
2009,8,3,Kampala,Central Kampala,Owino,0.32,32.57,vegetables and fruits,Plantains,KG,440.0,641.54,-201.54,-0.3141503257785952,481.15333333333336,500.4666666666667,2009-08-15
2009,8,3,Kampala,Central Kampala,Owino,0.32,32.57,pulses and nuts,Beans,KG,1807.14,1538.46,268.68000000000006,0.1746421746421746,1643.4066666666663,1588.0600000000002,2009-08-15
