date,year,month,quarter,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,price,previous_price,price_change,price_pct_change,price_3_month_avg,price_6_month_avg,next_month_price
2011-09-15,2011,9,3,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1500.0,1667.0,-167.0,-0.10017996400719856,1555.6666666666667,1794.5,1900.0
2011-10-15,2011,10,4,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1900.0,1500.0,400.0,0.26666666666666666,1689.0,1786.1666666666667,1632.0
2011-11-15,2011,11,4,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1632.0,1900.0,-268.0,-0.14105263157894737,1677.3333333333333,1699.8333333333333,1425.0
2012-01-15,2012,1,1,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1425.0,1632.0,-207.0,-0.12683823529411764,1652.3333333333333,1604.0,1450.0
2012-02-15,2012,2,1,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1450.0,1425.0,25.0,0.017543859649122806,1502.3333333333333,1595.6666666666667,1609.0
2012-03-15,2012,3,1,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1609.0,1450.0,159.0,0.1096551724137931,1494.6666666666667,1586.0,1700.0
2012-04-15,2012,4,2,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1700.0,1609.0,91.0,0.05655686761963953,1586.3333333333333,1619.3333333333333,2000.0
2012-05-15,2012,5,2,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,2000.0,1700.0,300.0,0.17647058823529413,1769.6666666666667,1636.0,2000.0
2012-06-15,2012,6,2,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,2000.0,2000.0,0.0,0.0,1900.0,1697.3333333333333,1500.0
2012-07-15,2012,7,3,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1500.0,2000.0,-500.0,-0.25,1833.3333333333333,1709.8333333333333,1500.0
2012-08-15,2012,8,3,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1500.0,1500.0,0.0,0.0,1666.6666666666667,1718.1666666666667,1500.0
2012-09-15,2012,9,3,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1500.0,1500.0,0.0,0.0,1500.0,1700.0,1642.0
2012-10-15,2012,10,4,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1642.0,1500.0,142.0,0.09466666666666666,1547.3333333333333,1690.3333333333333,1408.0
2012-11-15,2012,11,4,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1408.0,1642.0,-234.0,-0.1425091352009744,1516.6666666666667,1591.6666666666667,1400.0
2012-12-15,2012,12,4,Kyankwanzi,Kiboga,Kiboga,257,0.92,31.77,pulses and nuts,Beans,50,KG,1400.0,1408.0,-8.0,-0.005681818181818182,1483.3333333333333,1491.6666666666667,1400.0
